,com,lat,lic,lon,x_merc,y_merc
1,KT4GOUT,37.291018,322014110040719,126.978313,14135161.14494891,4479748.94636714
2,KT4GOUT,37.291018,322017110033368,126.978313,14135161.14494891,4479748.94636714
16,KT4GOUT,37.290468,322017110033354,126.976155,14134920.917487778,4479671.988193804
18,KT4GOUT,37.290468,322014110041197,126.976155,14134920.917487778,4479671.988193804
24,KT4GOUT,37.291992,852013110005958,126.968973,14134121.4209049,4479885.233676258
30,KT4GOUT,37.285052,322015110034022,126.972935,14134562.468727425,4478914.190116092
39,KT4GOUT,37.285052,322012110020267,126.972935,14134562.468727425,4478914.190116092
45,KT4GOUT,37.2857,322012110069775,126.968698,14134090.808044933,4479004.85436955
50,KT4GOUT,37.281892,322017110060134,126.972302,14134492.003489751,4478472.07315255
53,KT4GOUT,37.281892,322016110006009,126.972302,14134492.003489751,4478472.07315255
63,KT4GOUT,37.281338,852017110020932,126.970697,14134313.335707027,4478394.564686049
65,KT4GOUT,37.282534,322015110055790,126.970489,14134290.181252945,4478561.894146915
69,KT4GOUT,37.282534,322017110036219,126.970489,14134290.181252945,4478561.894146915
78,KT4GOUT,37.280467,852016110009669,126.967935,14134005.871273456,4478272.70686074
83,KT4GOUT,37.282225,322015110047419,126.967053,14133907.687482579,4478518.662451181
84,KT4GOUT,37.282225,322015110026627,126.967053,14133907.687482579,4478518.662451181
91,KT4GOUT,37.279381,322015110010642,126.969438,14134173.18446812,4478120.771294944
94,KT4GOUT,37.279392,322015110054898,126.969458,14134175.410857936,4478122.310226149
98,KT4GOUT,37.279722,322016110063317,126.970383,14134278.381386919,4478168.478266881
105,KT4GOUT,37.280986,322015110015929,126.969556,14134186.320168031,4478345.31772577
107,KT4GOUT,37.281017,322015110054897,126.969519,14134182.201346872,4478349.654806772
108,KT4GOUT,37.281019,852012110023799,126.970329,14134272.370134419,4478349.934618511
126,KT4GOUT,37.283061,322016110011789,126.939933,14130888.702892264,4478635.626283463
127,KT4GOUT,37.283061,322015110082155,126.939933,14130888.702892264,4478635.626283463
128,KT4GOUT,37.283061,322015110074999,126.939933,14130888.702892264,4478635.626283463
130,KT4GOUT,37.28316,322015110006587,126.936243,14130477.933971236,4478649.477349645
